wastewater_treatment_plant.name,collection_date,target,dilution,assay,gc_per_lww,TotalDroplets,flow,ara_id,population
ARA Altenrhein,2021-08-07T00:00:00Z,SARS-N1,3,n1mhv,75280.34250763978,26226,41423,323700,64000
ARA Altenrhein,2021-08-07T00:00:00Z,SARS-N1,3,n1mhv,45200.88799367073,26346,41423,323700,64000
ARA Sensetal,2021-08-07T00:00:00Z,SARS-N1,3,n1mhv,2708.139073743749,25112,51472,66700,62000
ARA Sensetal,2021-08-07T00:00:00Z,SARS-N1,3,n1mhv,10880.652932016901,25004,51472,66700,62000
ARA Chur,2021-08-06T00:00:00Z,SARS-N1,3,n1mhv,36132.46930047607,24480,15093,390101,55000
ARA Chur,2021-08-06T00:00:00Z,SARS-N1,3,n1mhv,40594.44147603158,24305,15093,390101,55000
ARA Altenrhein,2021-08-06T00:00:00Z,SARS-N1,3,n1mhv,20538.05951523766,26497,33526,323700,64000
ARA Altenrhein,2021-08-06T00:00:00Z,SARS-N1,3,n1mhv,52070.51572350006,26140,33526,323700,64000
ARA Sensetal,2021-08-06T00:00:00Z,SARS-N1,3,n1mhv,10757.1607248005,25291,35110,66700,62000
ARA Sensetal,2021-08-06T00:00:00Z,SARS-N1,3,n1mhv,5357.393972151746,25389,35110,66700,62000
ARA Chur,2021-08-05T00:00:00Z,SARS-N1,3,n1mhv,17090.74684005078,23880,23131,390101,55000
ARA Chur,2021-08-05T00:00:00Z,SARS-N1,3,n1mhv,12316.85272777379,24850,23131,390101,55000
ARA Altenrhein,2021-08-05T00:00:00Z,SARS-N1,3,n1mhv,10513.11444485947,25878,47872,323700,64000
ARA Sensetal,2021-08-05T00:00:00Z,SARS-N1,3,n1mhv,5433.805864126532,25032,45510,66700,62000
ARA Sensetal,2021-08-05T00:00:00Z,SARS-N1,3,n1mhv,1509.156038612018,22531,45510,66700,62000
ARA Altenrhein,2021-08-04T00:00:00Z,SARS-N1,3,n1mhv,5512.652431402645,24674,48220,323700,64000
ARA Altenrhein,2021-08-04T00:00:00Z,SARS-N1,3,n1mhv,25246.245217983,25599,48220,323700,64000
ARA Sensetal,2021-08-04T00:00:00Z,SARS-N1,3,n1mhv,0,26121,52207,66700,62000
ARA Sensetal,2021-08-04T00:00:00Z,SARS-N1,3,n1mhv,1310.618849678976,25944,52207,66700,62000
ARA Werdhoelzli,2021-08-08T00:00:00Z,SARS-N1,3,n1mhv,21060.41573827849,25840,317110,26101,471000
ARA Werdhoelzli,2021-08-08T00:00:00Z,SARS-N1,3,n1mhv,20886.57653723359,26055,317110,26101,471000
STEP Aire,2021-08-08T00:00:00Z,SARS-N1,3,n1mhv,95072.67262840258,25070,161751,664301,454000
STEP Aire,2021-08-08T00:00:00Z,SARS-N1,3,n1mhv,114383.1457789875,25310,161751,664301,454000
CDA Lugano,2021-08-08T00:00:00Z,SARS-N1,3,n1mhv,8670.303520608486,23533,89762,515100,124000
